Clinic ID,Clinic Name,Clinic Address,Postal Code,FSA,City,Province
c1,Clinic1,3800 Bouchette,H3S 1J2,H3S,Montreal,QC
c2,Clinic2,3801 Bouchette,H8R 3L7,H8R,Montreal,QC
c3,Clinic3,3802 Bouchette,H4J 1Z7,H4J,Montreal,QC
c4,Clinic4,3803 Bouchette,H4V 2M7,H4V,Montreal,QC
c5,Clinic5,3804 Bouchette,H4A 3S6,H4A,Montreal,QC
c6,Clinic6,3805 Bouchette,H4V 2Y9,H4V,Montreal,QC
c7,Clinic7,3806 Bouchette,H2J 2L2,H2J,Montreal,QC
c8,Clinic8,3807 Bouchette,H3S 1L8,H3S,Montreal,QC
c9,Clinic9,3808 Bouchette,H3S 1M2,H3S,Montreal,QC
c10,Clinic10,3809 Bouchette,H3P 3N6,H3P,Montreal,QC
c11,Clinic11,3810 Bouchette,H4P 2B1,H4P,Montreal,QC
c12,Clinic12,3811 Bouchette,H4G 3H4,H4G,Montreal,QC
c13,Clinic13,3812 Bouchette,H4M 1S4,H4M,Montreal,QC
c14,Clinic14,3813 Bouchette,H3X 2V5,H3X,Montreal,QC
c15,Clinic15,3814 Bouchette,H1Y 3E9,H1Y,Montreal,QC
c16,Clinic16,3815 Bouchette,H3L 3A1,H3L,Montreal,QC
c17,Clinic17,3816 Bouchette,H1W 3B9,H1W,Montreal,QC
c18,Clinic18,3817 Bouchette,H2G 2C5,H2G,Montreal,QC
c19,Clinic19,3818 Bouchette,H1V 3S3,H1V,Montreal,QC
c20,Clinic20,3819 Bouchette,H2E 1Y5,H2E,Montreal,QC
c21,Clinic21,3820 Bouchette,H1Y 2T1,H1Y,Montreal,QC
c22,Clinic22,3821 Bouchette,H1V 3B7,H1V,Montreal,QC
c23,Clinic23,3822 Bouchette,H2K 3Z1,H2K,Montreal,QC
c24,Clinic24,3823 Bouchette,H1X 3K2,H1X,Montreal,QC
c25,Clinic25,3824 Bouchette,H1Y 2P3,H1Y,Montreal,QC
c26,Clinic26,3825 Bouchette,H2T 2H5,H2T,Montreal,QC
c27,Clinic27,3826 Bouchette,H2P 2G3,H2P,Montreal,QC
c28,Clinic28,3827 Bouchette,H2H 2C5,H2H,Montreal,QC
c29,Clinic29,3828 Bouchette,H2H 2C5,H2H,Montreal,QC